,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
51647,SFO,"San Francisco, CA: San Francisco International",14,7,33,0,0,0,55,0,130,185,682,407,1402,0,2497,6,5
51648,CLT,"Charlotte, NC: Charlotte Douglas International",3,5,8,0,0,0,16,0,46,62,69,154,180,0,403,0,5
51649,PDX,"Portland, OR: Portland International",5,6,5,0,0,0,16,0,77,93,180,297,249,0,745,19,5
51650,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,7,24,0,0,0,36,1,81,118,266,680,1569,0,2535,20,5
51651,DTW,"Detroit, MI: Detroit Metro Wayne County",2,2,2,0,0,0,6,0,74,80,198,121,416,0,735,0,5
51652,SAN,"San Diego, CA: San Diego International",4,5,3,0,0,0,13,0,70,83,191,393,164,0,766,18,5
51653,SFO,"San Francisco, CA: San Francisco International",9,3,1,0,0,0,13,0,49,62,560,224,35,0,819,0,5
51654,LAX,"Los Angeles, CA: Los Angeles International",6,4,0,0,0,0,10,1,125,136,302,368,0,0,670,0,5
51655,LAS,"Las Vegas, NV: McCarran International",4,2,0,0,0,0,6,0,70,76,126,59,0,0,185,0,5
51656,SAN,"San Diego, CA: San Diego International",0,1,0,0,0,0,1,0,30,31,0,25,0,0,25,0,5
51657,SEA,"Seattle, WA: Seattle/Tacoma International",9,3,0,0,0,0,13,0,49,62,240,321,19,0,580,0,5
51658,PDX,"Portland, OR: Portland International",6,0,0,0,0,0,6,0,25,31,178,0,5,0,183,0,5
51659,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,1,0,0,0,0,2,0,29,31,111,64,0,0,175,0,5
51660,JFK,"New York, NY: John F. Kennedy International",7,0,0,0,0,0,7,0,20,27,231,0,0,0,231,0,5
51661,ORD,"Chicago, IL: Chicago O'Hare International",181,281,321,0,53,85,837,10,4814,5746,20063,17613,15155,23,57606,4752,5
51662,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",222,423,467,0,112,315,1224,42,3441,5022,25672,28496,23388,14,91846,14276,5
51663,LGA,"New York, NY: LaGuardia",40,90,121,3,5,77,260,7,871,1215,3332,6007,8914,100,19454,1101,5
51664,DTW,"Detroit, MI: Detroit Metro Wayne County",15,16,16,0,1,8,47,0,183,238,707,1002,705,0,2505,91,5
51665,MIA,"Miami, FL: Miami International",22,18,25,0,2,3,66,0,287,356,1547,1433,636,0,3698,82,5
51666,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,4,3,0,0,1,8,0,53,62,51,343,100,0,494,0,5
51667,JFK,"New York, NY: John F. Kennedy International",12,21,27,0,0,21,60,1,295,377,545,1511,1993,0,4049,0,5
51668,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,10,15,0,1,7,34,0,98,139,553,651,568,0,1846,74,5
51669,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2,3,6,0,2,0,12,0,9,21,64,161,293,0,663,145,5
51670,DCA,"Washington, DC: Ronald Reagan Washington National",1,0,1,0,0,1,2,0,28,31,50,0,122,0,172,0,5
51671,DTW,"Detroit, MI: Detroit Metro Wayne County",60,107,80,0,3,12,251,0,367,630,4122,8769,5648,23,19231,669,5
51672,LAS,"Las Vegas, NV: McCarran International",70,95,116,2,7,21,290,0,550,861,4325,7052,6011,62,18615,1165,5
51673,LGA,"New York, NY: LaGuardia",39,18,36,0,4,12,97,3,229,341,2486,1250,2090,0,6199,373,5
51674,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",25,40,24,1,3,6,93,0,180,279,1320,3872,1462,34,6965,277,5
51675,MSP,"Minneapolis, MN: Minneapolis-St Paul International",37,43,47,0,3,15,131,0,164,310,2375,3921,3378,0,9984,310,5
51676,MCO,"Orlando, FL: Orlando International",41,36,30,0,0,6,107,0,277,390,2781,2846,1425,0,7052,0,5
51677,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",76,116,166,0,11,18,370,11,463,862,4872,11402,9374,14,26959,1297,5
51678,SAN,"San Diego, CA: San Diego International",23,14,22,0,2,6,61,0,120,187,1418,735,969,0,3263,141,5
